[2026-02-20 11:23:03,997][train][INFO] - [94mexperiment working directory: /home/x_piero/equivariant-posteriors[0m
[2026-02-20 11:23:13,432][physicsnemo.datapipes.healpix.data_modules][INFO] - merging input datasets
[2026-02-20 11:23:13,432][physicsnemo.datapipes.healpix.data_modules][DEBUG] - open nc dataset /datasets/healpix/HPX64/era5_0.25deg_3h_HPX64_1979-2021_t2m0.nc
[2026-02-20 11:23:13,960][findlibs][DEBUG] - about to search for libeccodes.so/eccodeslib in <function _find_in_package at 0x7fd72655b420>
[2026-02-20 11:23:13,965][findlibs][DEBUG] - found package eccodeslib; with preload_deps=True
[2026-02-20 11:23:13,965][findlibs][DEBUG] - consider transitive dependency preload of eckitlib
[2026-02-20 11:23:13,971][findlibs][DEBUG] - initiating recursive search at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:13,973][findlibs][DEBUG] - considering cmake
[2026-02-20 11:23:13,973][findlibs][DEBUG] - considering libeckit.so
[2026-02-20 11:23:13,974][findlibs][DEBUG] - loading libeckit.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,252][findlibs][DEBUG] - loaded libeckit.so
[2026-02-20 11:23:14,253][findlibs][DEBUG] - considering libeckit_codec.so
[2026-02-20 11:23:14,253][findlibs][DEBUG] - loading libeckit_codec.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,262][findlibs][DEBUG] - loaded libeckit_codec.so
[2026-02-20 11:23:14,263][findlibs][DEBUG] - considering libeckit_distributed.so
[2026-02-20 11:23:14,263][findlibs][DEBUG] - loading libeckit_distributed.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,270][findlibs][DEBUG] - loaded libeckit_distributed.so
[2026-02-20 11:23:14,271][findlibs][DEBUG] - considering libeckit_geo.so
[2026-02-20 11:23:14,271][findlibs][DEBUG] - loading libeckit_geo.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,309][findlibs][DEBUG] - loaded libeckit_geo.so
[2026-02-20 11:23:14,309][findlibs][DEBUG] - considering libeckit_geometry.so
[2026-02-20 11:23:14,309][findlibs][DEBUG] - loading libeckit_geometry.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,316][findlibs][DEBUG] - loaded libeckit_geometry.so
[2026-02-20 11:23:14,316][findlibs][DEBUG] - considering libeckit_linalg.so
[2026-02-20 11:23:14,317][findlibs][DEBUG] - loading libeckit_linalg.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,332][findlibs][DEBUG] - loaded libeckit_linalg.so
[2026-02-20 11:23:14,332][findlibs][DEBUG] - considering libeckit_maths.so
[2026-02-20 11:23:14,333][findlibs][DEBUG] - loading libeckit_maths.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,334][findlibs][DEBUG] - loaded libeckit_maths.so
[2026-02-20 11:23:14,334][findlibs][DEBUG] - considering libeckit_mpi.so
[2026-02-20 11:23:14,335][findlibs][DEBUG] - loading libeckit_mpi.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,342][findlibs][DEBUG] - loaded libeckit_mpi.so
[2026-02-20 11:23:14,342][findlibs][DEBUG] - considering libeckit_option.so
[2026-02-20 11:23:14,343][findlibs][DEBUG] - loading libeckit_option.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,349][findlibs][DEBUG] - loaded libeckit_option.so
[2026-02-20 11:23:14,349][findlibs][DEBUG] - considering libeckit_sql.so
[2026-02-20 11:23:14,350][findlibs][DEBUG] - loading libeckit_sql.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,370][findlibs][DEBUG] - loaded libeckit_sql.so
[2026-02-20 11:23:14,371][findlibs][DEBUG] - considering libeckit_web.so
[2026-02-20 11:23:14,371][findlibs][DEBUG] - loading libeckit_web.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,380][findlibs][DEBUG] - loaded libeckit_web.so
[2026-02-20 11:23:14,380][findlibs][DEBUG] - considering pkgconfig
[2026-02-20 11:23:14,381][findlibs][DEBUG] - consider transitive dependency preload of fckitlib
[2026-02-20 11:23:14,385][findlibs][DEBUG] - consider transitive dependency preload of eckitlib
[2026-02-20 11:23:14,385][findlibs][DEBUG] - initiating recursive search at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,386][findlibs][DEBUG] - considering cmake
[2026-02-20 11:23:14,387][findlibs][DEBUG] - considering libeckit.so
[2026-02-20 11:23:14,387][findlibs][DEBUG] - loading libeckit.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,387][findlibs][DEBUG] - loaded libeckit.so
[2026-02-20 11:23:14,388][findlibs][DEBUG] - considering libeckit_codec.so
[2026-02-20 11:23:14,388][findlibs][DEBUG] - loading libeckit_codec.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,388][findlibs][DEBUG] - loaded libeckit_codec.so
[2026-02-20 11:23:14,389][findlibs][DEBUG] - considering libeckit_distributed.so
[2026-02-20 11:23:14,389][findlibs][DEBUG] - loading libeckit_distributed.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,390][findlibs][DEBUG] - loaded libeckit_distributed.so
[2026-02-20 11:23:14,390][findlibs][DEBUG] - considering libeckit_geo.so
[2026-02-20 11:23:14,391][findlibs][DEBUG] - loading libeckit_geo.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:23:14,391][findlibs][DEBUG] - loaded libeckit_geo.so
[2026-02-20 11:23:14,392][findlibs][DEBUG] - considering libeckit_geometry.so
