[2026-02-20 11:25:30,092][train][INFO] - experiment working directory: /home/x_piero/equivariant-posteriors
[2026-02-20 11:25:40,866][physicsnemo.datapipes.healpix.data_modules][INFO] - merging input datasets
[2026-02-20 11:25:40,866][physicsnemo.datapipes.healpix.data_modules][DEBUG] - open nc dataset /datasets/healpix/HPX64/era5_0.25deg_3h_HPX64_1979-2021_t2m0.nc
[2026-02-20 11:25:41,386][findlibs][DEBUG] - about to search for libeccodes.so/eccodeslib in <function _find_in_package at 0x7f9133a037e0>
[2026-02-20 11:25:41,390][findlibs][DEBUG] - found package eccodeslib; with preload_deps=True
[2026-02-20 11:25:41,390][findlibs][DEBUG] - consider transitive dependency preload of eckitlib
[2026-02-20 11:25:41,394][findlibs][DEBUG] - initiating recursive search at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,395][findlibs][DEBUG] - considering cmake
[2026-02-20 11:25:41,395][findlibs][DEBUG] - considering libeckit.so
[2026-02-20 11:25:41,395][findlibs][DEBUG] - loading libeckit.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,477][findlibs][DEBUG] - loaded libeckit.so
[2026-02-20 11:25:41,477][findlibs][DEBUG] - considering libeckit_codec.so
[2026-02-20 11:25:41,477][findlibs][DEBUG] - loading libeckit_codec.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,482][findlibs][DEBUG] - loaded libeckit_codec.so
[2026-02-20 11:25:41,482][findlibs][DEBUG] - considering libeckit_distributed.so
[2026-02-20 11:25:41,482][findlibs][DEBUG] - loading libeckit_distributed.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,486][findlibs][DEBUG] - loaded libeckit_distributed.so
[2026-02-20 11:25:41,486][findlibs][DEBUG] - considering libeckit_geo.so
[2026-02-20 11:25:41,486][findlibs][DEBUG] - loading libeckit_geo.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,495][findlibs][DEBUG] - loaded libeckit_geo.so
[2026-02-20 11:25:41,495][findlibs][DEBUG] - considering libeckit_geometry.so
[2026-02-20 11:25:41,495][findlibs][DEBUG] - loading libeckit_geometry.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,500][findlibs][DEBUG] - loaded libeckit_geometry.so
[2026-02-20 11:25:41,500][findlibs][DEBUG] - considering libeckit_linalg.so
[2026-02-20 11:25:41,500][findlibs][DEBUG] - loading libeckit_linalg.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,503][findlibs][DEBUG] - loaded libeckit_linalg.so
[2026-02-20 11:25:41,504][findlibs][DEBUG] - considering libeckit_maths.so
[2026-02-20 11:25:41,504][findlibs][DEBUG] - loading libeckit_maths.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,505][findlibs][DEBUG] - loaded libeckit_maths.so
[2026-02-20 11:25:41,505][findlibs][DEBUG] - considering libeckit_mpi.so
[2026-02-20 11:25:41,505][findlibs][DEBUG] - loading libeckit_mpi.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,509][findlibs][DEBUG] - loaded libeckit_mpi.so
[2026-02-20 11:25:41,509][findlibs][DEBUG] - considering libeckit_option.so
[2026-02-20 11:25:41,509][findlibs][DEBUG] - loading libeckit_option.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,513][findlibs][DEBUG] - loaded libeckit_option.so
[2026-02-20 11:25:41,513][findlibs][DEBUG] - considering libeckit_sql.so
[2026-02-20 11:25:41,513][findlibs][DEBUG] - loading libeckit_sql.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,522][findlibs][DEBUG] - loaded libeckit_sql.so
[2026-02-20 11:25:41,522][findlibs][DEBUG] - considering libeckit_web.so
[2026-02-20 11:25:41,522][findlibs][DEBUG] - loading libeckit_web.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,526][findlibs][DEBUG] - loaded libeckit_web.so
[2026-02-20 11:25:41,526][findlibs][DEBUG] - considering pkgconfig
[2026-02-20 11:25:41,526][findlibs][DEBUG] - consider transitive dependency preload of fckitlib
[2026-02-20 11:25:41,529][findlibs][DEBUG] - consider transitive dependency preload of eckitlib
[2026-02-20 11:25:41,530][findlibs][DEBUG] - initiating recursive search at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,530][findlibs][DEBUG] - considering cmake
[2026-02-20 11:25:41,531][findlibs][DEBUG] - considering libeckit.so
[2026-02-20 11:25:41,531][findlibs][DEBUG] - loading libeckit.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,531][findlibs][DEBUG] - loaded libeckit.so
[2026-02-20 11:25:41,531][findlibs][DEBUG] - considering libeckit_codec.so
[2026-02-20 11:25:41,531][findlibs][DEBUG] - loading libeckit_codec.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eckitlib/lib64
[2026-02-20 11:25:41,531][findlibs][DEBUG] - loaded libeckit_codec.so
[2026-02-20 11:25:41,531][findlibs][DEBUG] - considering libeckit_distributed.so
